foi,attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition,pub_chem,inchi_key,inchi
Layer-Horizon,textSilt,mSi_ISO,Si_ISO,mSi_ISO,Medium silt (0.0063 - 0.02 mm),Content of mineral particles with sizes between 6.3-20 µm in soil,https://www.iso.org/standard/66345.html,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ",,,
Layer-Horizon,textSilt,fSi_ISO,Si_ISO,fSi_ISO,Fine silt (0.002 - 0.0063 mm),Content of mineral particles with sizes between 2-6.3 µm in soil,https://www.iso.org/standard/66345.html,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ",,,
Layer-Horizon,textSilt,cSi_ISO,Si_ISO,cSi_ISO,Coarse silt (0.02 - 0.063 mm),Content of mineral particles with sizes between 20-63 µm in soil,https://www.iso.org/standard/66345.html,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ",,,
Layer-Horizon,textSilt,Si_ISSS,,Si_ISSS,Silt (0.002 - 0.02 mm),Content of mineral particles with sizes between 2-20 µm in soil,https://doi.org/10.1016/j.geoderma.2022.115783,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ",,,
Layer-Horizon,textSilt,Si_USDA,,Si_USDA,Silt (0.002 - 0.05 mm),Content of mineral particles with sizes between 2-50 µm in soil,https://doi.org/10.1111/j.1365-3091.2012.01335.x,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ",,,
Layer-Horizon,textSilt,Si_ISO,,Si_ISO,Silt (0.002 - 0.063 mm),Content of mineral particles with sizes between 2-63 µm in soil,https://www.iso.org/standard/66345.html,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ",,,
Layer-Horizon,textSilt,cSi_USDA,Si_USDA,cSi_USDA,Coarse silt (0.02 - 0.05 mm),Content of mineral particles with sizes between 20-50 µm in soil,https://doi.org/10.1111/j.1365-3091.2012.01335.x,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ",,,
Layer-Horizon,textSilt,fSi_USDA,Si_USDA,fSi_USDA,Fine silt (0.002 - 0.02 mm),Content of mineral particles with sizes between 2-20 µm in soil,https://doi.org/10.1111/j.1365-3091.2012.01335.x,,True,"ISO 14688-1:2017 Geotechnical investigation and testing — Identification and classification of soil ;S.J. Blott and K. Pye, Particle size scales and classification of sediment types based on particle size distributions: Review and recommended procedures, Sedimentology, 59 (7) (2012), pp. 2071-2096.  ",,,
Layer-Horizon,sand,SWD3,,SWD3,Sand Water Dispersible 0.3,"Sand water dispersible at 0.3 refers to the portion of sand particles in the soil that can be dispersed into water under a specific condition, where the dispersion occurs at a 0.3 pressure. This measurement indicates how easily the sand fraction of the soil can break apart and be suspended in water. Dispersible sand is important in evaluating soil structure and its susceptibility to erosion and runoff. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
Layer-Horizon,sand,SWDT,,SWDT,Sand Water Dispersible Total,"Sand water dispersible total refers to the sum of all sand particles that can be dispersed into water across a range of pressures, usually reflecting the total amount of dispersible sand in the soil. This value is important in understanding the overall erodibility of a soil, as high dispersibility is linked to increased susceptibility to erosion and degradation. Source: Soil Science Society of America.",,,True,ISRIC Report 2019/01: Tier 1 and Tier 2 data in the context of the federated Global Soil Information System. Appendix 3,,,
