collection,concept,parent_concept,notation,label,definition,reference,citation,collection_definition,pub_chem,inchi_key,inchi
mineralConcKind,SC,,SC,Soft concretion,Soft concretion,,,Classification of the kinds of mineral concentrations. See more in guidelines for Soil Description issued by the FAO: table 74,,,
mineralConcKind,IC,,IC,Crack infillings,"Crack infillings refer to the materials that accumulate within cracks or fissures in the soil, typically formed due to drying or other physical stresses on the soil structure. These materials can include clays, silt, sand, or mineral deposits that enter cracks over time, often through the action of water or wind. Crack infillings can influence the soil's physical properties, such as its permeability and structure, as they may either facilitate or impede the movement of water and air through the soil. Additionally, crack infillings can impact soil fertility, as they may contain higher concentrations of certain nutrients or minerals that accumulate in these voids. Source: Soil Science Society of America.",,,Classification of the kinds of mineral concentrations. See more in guidelines for Soil Description issued by the FAO: table 74,,,
mineralConcKind,R,,R,Residual rock fragment,Discrete impregnated body still showing rock structure.,,,Classification of the kinds of mineral concentrations. See more in guidelines for Soil Description issued by the FAO: table 74,,,
mineralConcKind,O,,O,Other,"The term Other in the context of soil mineral concentrations generally refers to any minerals or materials found in the soil that do not fall under commonly categorized types such as clay, silt, or sand. This could include uncommon minerals, organic matter, or anthropogenic substances that are present in the soil but don't fit into the standard classifications of soil texture or composition. These other substances may have a significant effect on soil properties, influencing aspects like nutrient availability, soil pH, and the ability to retain water. In many cases, Other minerals are identified through advanced soil testing and chemical analysis. Source: Soil Science Society of America.",,,Classification of the kinds of mineral concentrations. See more in guidelines for Soil Description issued by the FAO: table 74,,,
mineralConcKind,IP,,IP,Pore infillings,Including pseudomycelium of carbonates or opal.,,,Classification of the kinds of mineral concentrations. See more in guidelines for Soil Description issued by the FAO: table 74,,,
mineralConcKind,N,,N,Nodule,Discrete body without an internal organization.,,,Classification of the kinds of mineral concentrations. See more in guidelines for Soil Description issued by the FAO: table 74,,,
mineralConcKind,T,,T,Crystal,"Crystals in soil refer to solid, naturally occurring minerals that have a regular and repeating internal structure, which can often be seen under a microscope or with the naked eye. These crystal formations typically occur when minerals precipitate from water or melt and re-crystallize under certain environmental conditions, such as changes in temperature or pressure. Common crystal minerals in soil include quartz, gypsum, calcite, and halite. The presence of crystals in soil can significantly affect its properties, including drainage, fertility, and nutrient availability. For example, gypsum crystals can improve soil structure, while the presence of salt crystals can lead to soil salinity problems. Source: Brady & Weil (2017), The Nature and Properties of Soils.",,,Classification of the kinds of mineral concentrations. See more in guidelines for Soil Description issued by the FAO: table 74,,,
mineralConcKind,S,,S,Soft segregation (or soft accumulation),Differs from the surrounding soil mass in colour and composition but is not easily separated as a discrete body.,,,Classification of the kinds of mineral concentrations. See more in guidelines for Soil Description issued by the FAO: table 74,,,
mineralConcKind,C,,C,Concretion,"A discrete body with a concentric internal structure, generally cemented.",,,Classification of the kinds of mineral concentrations. See more in guidelines for Soil Description issued by the FAO: table 74,,,
weathering,S,,S,Strongly weathered,"All but the most resistant minerals are weathered, strongly discoloured and altered throughout the fragments, which tend to disintegrate under only moderate pressure.",,,Classification of weathering of coarse fragments. See more in Guidelines for Soil Description issued by the FAO: table 29,,,
weathering,F,,F,Fresh or slightly weathered,Fragments show little or no signs of weathering.,,,Classification of weathering of coarse fragments. See more in Guidelines for Soil Description issued by the FAO: table 29,,,
weathering,W,,W,Weathered,Partial weathering is indicated by discoloration and loss of crystal form in the outer parts of the fragments while the centres remain relatively fresh and the fragments have lost little of their original strength.,,,Classification of weathering of coarse fragments. See more in Guidelines for Soil Description issued by the FAO: table 29,,,
sealingConsistence,H,,H,Hard,Surface sealing with consistency Hard,,,"Classification of the attributes of surface sealing based on consistency. See more in Guidelines for Soil Description issued by the FAO: table 20,2",,,
sealingConsistence,V,,V,Very hard,Surface sealing with consistency Very hard,,,"Classification of the attributes of surface sealing based on consistency. See more in Guidelines for Soil Description issued by the FAO: table 20,2",,,
sealingConsistence,E,,E,Extremely hard,Surface sealing with consistency Extremely hard,,,"Classification of the attributes of surface sealing based on consistency. See more in Guidelines for Soil Description issued by the FAO: table 20,2",,,
sealingConsistence,S,,S,Slightly hard,Surface sealing with consistency Slightly hard,,,"Classification of the attributes of surface sealing based on consistency. See more in Guidelines for Soil Description issued by the FAO: table 20,2",,,
saltContent,EX,,EX,Extremely salty,Extremely salty soil with salt content > 15 dS m-1,,,Classification of salt content of soil. See more in Guidelines for Soil Description issued by the FAO: table 42,,,
saltContent,SL,,SL,Slightly salty,Slightly salty soil with salt content 0.75–2 dS m-1,,,Classification of salt content of soil. See more in Guidelines for Soil Description issued by the FAO: table 42,,,
saltContent,N,,N,(nearly)Not salty,Nearly not salty soild with salt content less than  0.75 dS m-1,,,Classification of salt content of soil. See more in Guidelines for Soil Description issued by the FAO: table 42,,,
saltContent,ST,,ST,Strongly salty,Strongly salty soil with salt content 4–8 dS m-1,,,Classification of salt content of soil. See more in Guidelines for Soil Description issued by the FAO: table 42,,,
saltContent,VST,,VST,Very strongly salty,Very strongly salty soil with salt content 8–15 dS m-1,,,Classification of salt content of soil. See more in Guidelines for Soil Description issued by the FAO: table 42,,,
saltContent,MO,,MO,Moderately salty,Extremely salty soil with salt content 2–4 dS m-1,,,Classification of salt content of soil. See more in Guidelines for Soil Description issued by the FAO: table 42,,,
erosionCategory,WD,W,WD,Deposition by water,Soil deposition caused by water,,,"Erosion can be classified as water or wind erosion and include off-site effects such as deposition, a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16",,,
erosionCategory,M,,N,Mass movement,"Mass movements are defined as processes of erosion, transport and accumulation of material that occur on both gentle and steep slopes mainly owing to gravitational forces.",,,"Erosion can be classified as water or wind erosion and include off-site effects such as deposition, a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16",,,
erosionCategory,AM,A,AM,Wind erosion and deposition,Erosion and deposition caused by wind,,,"Erosion can be classified as water or wind erosion and include off-site effects such as deposition, a third major category is mass movements (landslides and related phenomena). See more in Guidelines for Soil Description issued by the FAO: table 16",,,
