obs,prop
http://w3id.org/glosis/model/common/InfiltrationRateClass,http://w3id.org/glosis/model/common/infiltrationRateClassProperty
http://w3id.org/glosis/model/common/Texture,http://w3id.org/glosis/model/common/textureProperty
http://w3id.org/glosis/model/common/InfiltrationRateNumeric,http://w3id.org/glosis/model/common/infiltrationRateNumericProperty
http://w3id.org/glosis/model/common/BleachedSand,http://w3id.org/glosis/model/common/bleachedSandProperty
http://w3id.org/glosis/model/common/FragmentsSize,http://w3id.org/glosis/model/common/fragmentsSizeProperty
http://w3id.org/glosis/model/common/CracksDepth,http://w3id.org/glosis/model/common/cracksDepthProperty
http://w3id.org/glosis/model/common/OrganicMatterClass,http://w3id.org/glosis/model/common/organicMatterClassProperty
http://w3id.org/glosis/model/common/CracksDistance,http://w3id.org/glosis/model/common/cracksDistanceProperty
http://w3id.org/glosis/model/common/CracksWidth,http://w3id.org/glosis/model/common/cracksWidthProperty
http://w3id.org/glosis/model/common/RockAbundance,http://w3id.org/glosis/model/common/rockAbundanceProperty
http://w3id.org/glosis/model/common/ColourDry,http://w3id.org/glosis/model/common/colourDryProperty
http://w3id.org/glosis/model/common/ColourMoist,http://w3id.org/glosis/model/common/colourMoistProperty
http://w3id.org/glosis/model/common/RockShape,http://w3id.org/glosis/model/common/rockShapeProperty
http://w3id.org/glosis/model/common/RockSize,http://w3id.org/glosis/model/common/rockSizeProperty
http://w3id.org/glosis/model/common/WeatheringFragments,http://w3id.org/glosis/model/common/weatheringFragmentsProperty
http://w3id.org/glosis/model/common/FragmentCover,http://w3id.org/glosis/model/common/fragmentCoverProperty
http://w3id.org/glosis/model/layerhorizon/CoatingNature,http://w3id.org/glosis/model/layerhorizon/coatingNatureProperty
http://w3id.org/glosis/model/layerhorizon/TextureLabClass,http://w3id.org/glosis/model/layerhorizon/textureLabClassProperty
http://w3id.org/glosis/model/layerhorizon/CementationDegree,http://w3id.org/glosis/model/layerhorizon/cementationDegreeProperty
http://w3id.org/glosis/model/layerhorizon/CoatingContrast,http://w3id.org/glosis/model/layerhorizon/coatingContrastProperty
http://w3id.org/glosis/model/layerhorizon/BiologicalAbundance,http://w3id.org/glosis/model/layerhorizon/biologicalAbundanceProperty
http://w3id.org/glosis/model/layerhorizon/MottlesPresence,http://w3id.org/glosis/model/layerhorizon/mottlesPresenceProperty
http://w3id.org/glosis/model/layerhorizon/VoidsClassification,http://w3id.org/glosis/model/layerhorizon/voidsClassificationProperty
http://w3id.org/glosis/model/layerhorizon/MineralConcKind,http://w3id.org/glosis/model/layerhorizon/mineralConcKindProperty
http://w3id.org/glosis/model/layerhorizon/BulkDensityMineral,http://w3id.org/glosis/model/layerhorizon/bulkDensityMineralProperty
http://w3id.org/glosis/model/layerhorizon/CationsSum,http://w3id.org/glosis/model/layerhorizon/cationsSumProperty
http://w3id.org/glosis/model/layerhorizon/MottlesColour,http://w3id.org/glosis/model/layerhorizon/mottlesColourProperty
http://w3id.org/glosis/model/layerhorizon/DryConsistency,http://w3id.org/glosis/model/layerhorizon/dryConsistencyProperty
http://w3id.org/glosis/model/layerhorizon/CoatingAbundance,http://w3id.org/glosis/model/layerhorizon/coatingAbundanceProperty
http://w3id.org/glosis/model/layerhorizon/ConsistenceDry,http://w3id.org/glosis/model/layerhorizon/consistenceDryProperty
http://w3id.org/glosis/model/layerhorizon/GypsumForms,http://w3id.org/glosis/model/layerhorizon/gypsumFormsProperty
http://w3id.org/glosis/model/layerhorizon/MineralConcNature,http://w3id.org/glosis/model/layerhorizon/mineralConcNatureProperty
http://w3id.org/glosis/model/layerhorizon/ParticleSizeFractionsSum,http://w3id.org/glosis/model/layerhorizon/particleSizeFractionsSumProperty
http://w3id.org/glosis/model/layerhorizon/BoundaryDistinctness,http://w3id.org/glosis/model/layerhorizon/boundaryDistinctnessProperty
http://w3id.org/glosis/model/layerhorizon/RootsPresence,http://w3id.org/glosis/model/layerhorizon/rootsPresenceProperty
http://w3id.org/glosis/model/layerhorizon/CementationFabric,http://w3id.org/glosis/model/layerhorizon/cementationFabricProperty
http://w3id.org/glosis/model/layerhorizon/MottlesSize,http://w3id.org/glosis/model/layerhorizon/mottlesSizeProperty
http://w3id.org/glosis/model/layerhorizon/PorosityClass,http://w3id.org/glosis/model/layerhorizon/porosityClassProperty
http://w3id.org/glosis/model/layerhorizon/MottlesAbundance,http://w3id.org/glosis/model/layerhorizon/mottlesAbundanceProperty
http://w3id.org/glosis/model/layerhorizon/VoidsDiameter,http://w3id.org/glosis/model/layerhorizon/voidsDiameterProperty
http://w3id.org/glosis/model/layerhorizon/StructureGrade,http://w3id.org/glosis/model/layerhorizon/structureGradeProperty
http://w3id.org/glosis/model/layerhorizon/BiologicalFeatures,http://w3id.org/glosis/model/layerhorizon/biologicalFeaturesProperty
http://w3id.org/glosis/model/layerhorizon/MineralContent,http://w3id.org/glosis/model/layerhorizon/mineralContentProperty
http://w3id.org/glosis/model/layerhorizon/PoresSize,http://w3id.org/glosis/model/layerhorizon/poresSizeProperty
http://w3id.org/glosis/model/layerhorizon/StructureSize,http://w3id.org/glosis/model/layerhorizon/structureSizeProperty
http://w3id.org/glosis/model/layerhorizon/MineralConcShape,http://w3id.org/glosis/model/layerhorizon/mineralConcShapeProperty
http://w3id.org/glosis/model/layerhorizon/GypsumWeight,http://w3id.org/glosis/model/layerhorizon/gypsumWeightProperty
http://w3id.org/glosis/model/layerhorizon/PeatDrainage,http://w3id.org/glosis/model/layerhorizon/peatDrainageProperty
http://w3id.org/glosis/model/layerhorizon/SandyTexture,http://w3id.org/glosis/model/layerhorizon/sandyTextureProperty
http://w3id.org/glosis/model/layerhorizon/SolubleCationsTotal,http://w3id.org/glosis/model/layerhorizon/solubleCationsTotalProperty
http://w3id.org/glosis/model/layerhorizon/CementationNature,http://w3id.org/glosis/model/layerhorizon/cementationNatureProperty
http://w3id.org/glosis/model/layerhorizon/Salt,http://w3id.org/glosis/model/layerhorizon/saltProperty
http://w3id.org/glosis/model/layerhorizon/SolubleAnionsTotal,http://w3id.org/glosis/model/layerhorizon/solubleAnionsTotalProperty
http://w3id.org/glosis/model/layerhorizon/BulkDensityPeat,http://w3id.org/glosis/model/layerhorizon/bulkDensityPeatProperty
http://w3id.org/glosis/model/layerhorizon/MineralFragments,http://w3id.org/glosis/model/layerhorizon/mineralFragmentsProperty
http://w3id.org/glosis/model/layerhorizon/MottlesBoundaryClassification,http://w3id.org/glosis/model/layerhorizon/mottlesBoundaryClassificationProperty
http://w3id.org/glosis/model/layerhorizon/CationExchangeCapacity,http://w3id.org/glosis/model/layerhorizon/cationExchangeCapacityProperty
http://w3id.org/glosis/model/layerhorizon/PeatDecompostion,http://w3id.org/glosis/model/layerhorizon/peatDecompostionProperty
http://w3id.org/glosis/model/layerhorizon/PeatVolume,http://w3id.org/glosis/model/layerhorizon/peatVolumeProperty
http://w3id.org/glosis/model/layerhorizon/BoundaryTopography,http://w3id.org/glosis/model/layerhorizon/boundaryTopographyProperty
http://w3id.org/glosis/model/layerhorizon/CarbonatesContent,http://w3id.org/glosis/model/layerhorizon/carbonatesContentProperty
http://w3id.org/glosis/model/layerhorizon/MineralConcColour,http://w3id.org/glosis/model/layerhorizon/mineralConcColourProperty
http://w3id.org/glosis/model/layerhorizon/CationExchangeCapacityEffective,http://w3id.org/glosis/model/layerhorizon/cationExchangeCapacityEffectiveProperty
http://w3id.org/glosis/model/layerhorizon/Plasticity,http://w3id.org/glosis/model/layerhorizon/plasticityProperty
http://w3id.org/glosis/model/layerhorizon/MottlesContrast,http://w3id.org/glosis/model/layerhorizon/mottlesContrastProperty
http://w3id.org/glosis/model/layerhorizon/ConsistenceMoist,http://w3id.org/glosis/model/layerhorizon/consistenceMoistProperty
http://w3id.org/glosis/model/layerhorizon/MineralConcVolume,http://w3id.org/glosis/model/layerhorizon/mineralConcVolumeProperty
http://w3id.org/glosis/model/layerhorizon/SaltContent,http://w3id.org/glosis/model/layerhorizon/saltContentProperty
http://w3id.org/glosis/model/layerhorizon/GypsumContent,http://w3id.org/glosis/model/layerhorizon/gypsumContentProperty
http://w3id.org/glosis/model/layerhorizon/CoatingForm,http://w3id.org/glosis/model/layerhorizon/coatingFormProperty
http://w3id.org/glosis/model/layerhorizon/OxalateExtractableOpticalDensity,http://w3id.org/glosis/model/layerhorizon/oxalateExtractableOpticalDensityProperty
http://w3id.org/glosis/model/layerhorizon/MineralConcHardness,http://w3id.org/glosis/model/layerhorizon/mineralConcHardnessProperty
http://w3id.org/glosis/model/layerhorizon/PoresAbundance,http://w3id.org/glosis/model/layerhorizon/poresAbundanceProperty
http://w3id.org/glosis/model/layerhorizon/MineralConcSize,http://w3id.org/glosis/model/layerhorizon/mineralConcSizeProperty
http://w3id.org/glosis/model/layerhorizon/Stickiness,http://w3id.org/glosis/model/layerhorizon/stickinessProperty
http://w3id.org/glosis/model/layerhorizon/MoistConsistency,http://w3id.org/glosis/model/layerhorizon/moistConsistencyProperty
http://w3id.org/glosis/model/layerhorizon/CoatingLocation,http://w3id.org/glosis/model/layerhorizon/coatingLocationProperty
http://w3id.org/glosis/model/layerhorizon/TextureFieldClass,http://w3id.org/glosis/model/layerhorizon/textureFieldClassProperty
http://w3id.org/glosis/model/layerhorizon/CarbonatesForms,http://w3id.org/glosis/model/layerhorizon/carbonatesFormsProperty
http://w3id.org/glosis/model/layerhorizon/FragmentsClass,http://w3id.org/glosis/model/layerhorizon/fragmentsClassProperty
http://w3id.org/glosis/model/layerhorizon/WetPlasticity,http://w3id.org/glosis/model/layerhorizon/wetPlasticityProperty
http://w3id.org/glosis/model/layerhorizon/MineralConcAbundance,http://w3id.org/glosis/model/layerhorizon/mineralConcAbundanceProperty
http://w3id.org/glosis/model/layerhorizon/RootsAbundance,http://w3id.org/glosis/model/layerhorizon/rootsAbundanceProperty
http://w3id.org/glosis/model/layerhorizon/CementationContinuity,http://w3id.org/glosis/model/layerhorizon/cementationContinuityProperty
http://w3id.org/glosis/model/layerhorizon/MoistureContent,http://w3id.org/glosis/model/layerhorizon/moistureContentProperty

