obs,prop
http://w3id.org/glosis/model/common/SoilDepthBedrock,http://w3id.org/glosis/model/common/soilDepthBedrockProperty
http://w3id.org/glosis/model/common/SoilDepth,http://w3id.org/glosis/model/common/soilDepthProperty
http://w3id.org/glosis/model/common/SoilDepthRootable,http://w3id.org/glosis/model/common/soilDepthRootableProperty
http://w3id.org/glosis/model/common/SoilDepthRootableClass,http://w3id.org/glosis/model/common/soilDepthRootableClassProperty
http://w3id.org/glosis/model/common/SoilDepthSampled,http://w3id.org/glosis/model/common/soilDepthSampledProperty
http://w3id.org/glosis/model/common/WeatheringFragments,http://w3id.org/glosis/model/common/weatheringFragmentsProperty
http://w3id.org/glosis/model/siteplot/CropClass,http://w3id.org/glosis/model/siteplot/cropClassProperty
http://w3id.org/glosis/model/siteplot/Geology,http://w3id.org/glosis/model/siteplot/geologyProperty
http://w3id.org/glosis/model/siteplot/SlopeOrientationClass,http://w3id.org/glosis/model/siteplot/slopeOrientationClassProperty
http://w3id.org/glosis/model/siteplot/ErosionCategory,http://w3id.org/glosis/model/siteplot/erosionCategoryProperty
http://w3id.org/glosis/model/siteplot/ErosionAreaAffected,http://w3id.org/glosis/model/siteplot/erosionAreaAffectedProperty
http://w3id.org/glosis/model/siteplot/ParentTextureUnconsolidated,http://w3id.org/glosis/model/siteplot/parentTextureUnconsolidatedProperty
http://w3id.org/glosis/model/siteplot/LandUseGrass,http://w3id.org/glosis/model/siteplot/grassAbundanceProperty
http://w3id.org/glosis/model/siteplot/SurfaceAge,http://w3id.org/glosis/model/siteplot/surfaceAgeProperty
http://w3id.org/glosis/model/siteplot/WeatheringRock,http://w3id.org/glosis/model/siteplot/weatheringRockProperty
http://w3id.org/glosis/model/siteplot/SlopeForm,http://w3id.org/glosis/model/siteplot/slopeFormProperty
http://w3id.org/glosis/model/siteplot/SlopeOrientationNumeric,http://w3id.org/glosis/model/siteplot/slopeOrientationProperty
http://w3id.org/glosis/model/siteplot/ParentLithology,http://w3id.org/glosis/model/siteplot/parentLithologyProperty
http://w3id.org/glosis/model/siteplot/SlopeGradientClass,http://w3id.org/glosis/model/siteplot/slopeGradientClassProperty
http://w3id.org/glosis/model/siteplot/ErosionDegree,http://w3id.org/glosis/model/siteplot/erosionDegreeProperty
http://w3id.org/glosis/model/siteplot/LandformComplex,http://w3id.org/glosis/model/siteplot/landformComplexProperty
http://w3id.org/glosis/model/siteplot/LandUseBareCover,http://w3id.org/glosis/model/siteplot/bareCoverAbundanceProperty
http://w3id.org/glosis/model/siteplot/WeatherPast,http://w3id.org/glosis/model/siteplot/weatherConditionsPastProperty
http://w3id.org/glosis/model/siteplot/KoeppenClass,http://w3id.org/glosis/model/siteplot/koeppenClassProperty
http://w3id.org/glosis/model/siteplot/RockOutcropsCover,http://w3id.org/glosis/model/siteplot/rockOutcropsCoverProperty
http://w3id.org/glosis/model/siteplot/ParentDeposition,http://w3id.org/glosis/model/siteplot/parentDepositionProperty
http://w3id.org/glosis/model/siteplot/FloodDuration,http://w3id.org/glosis/model/siteplot/floodDurationProperty
http://w3id.org/glosis/model/siteplot/Physiography,http://w3id.org/glosis/model/siteplot/physiographyProperty
http://w3id.org/glosis/model/siteplot/SlopeGradientNumeric,http://w3id.org/glosis/model/siteplot/slopeGradientProperty
http://w3id.org/glosis/model/siteplot/LandUseForest,http://w3id.org/glosis/model/siteplot/forestAbundanceProperty
http://w3id.org/glosis/model/siteplot/RockOutcropsDistance,http://w3id.org/glosis/model/siteplot/rockOutcropsDistanceProperty
http://w3id.org/glosis/model/siteplot/LandUsePavedCover,http://w3id.org/glosis/model/siteplot/PavedAbundanceproperty
http://w3id.org/glosis/model/siteplot/SlopePathways,http://w3id.org/glosis/model/siteplot/slopePathwaysProperty
http://w3id.org/glosis/model/siteplot/MajorLandForm,http://w3id.org/glosis/model/siteplot/majorLandFormProperty
http://w3id.org/glosis/model/siteplot/GroundwaterDepth,http://w3id.org/glosis/model/siteplot/groundwaterDepthProperty
http://w3id.org/glosis/model/siteplot/Lithology,http://w3id.org/glosis/model/siteplot/lithologyProperty
http://w3id.org/glosis/model/siteplot/WeatherCurrent,http://w3id.org/glosis/model/siteplot/weatherConditionsCurrentProperty
http://w3id.org/glosis/model/siteplot/FloodFrequency,http://w3id.org/glosis/model/siteplot/floodFrequencyProperty
http://w3id.org/glosis/model/siteplot/HumanInfluenceClass,http://w3id.org/glosis/model/siteplot/humanInfluenceClassProperty
http://w3id.org/glosis/model/siteplot/LandUseShrubs,http://w3id.org/glosis/model/siteplot/shrubsAbundanceProperty
http://w3id.org/glosis/model/siteplot/ErosionActivityPeriod,http://w3id.org/glosis/model/siteplot/erosionActivityPeriodProperty
http://w3id.org/glosis/model/siteplot/VegetationClass,http://w3id.org/glosis/model/siteplot/vegetationClassProperty
http://w3id.org/glosis/model/siteplot/TreeDensity,http://w3id.org/glosis/model/siteplot/treeDensityProperty
http://w3id.org/glosis/model/siteplot/ErosionTotalAreaAffected,http://w3id.org/glosis/model/siteplot/erosionTotalAreaAffectedProperty
http://w3id.org/glosis/model/siteplot/LandUseClass,http://w3id.org/glosis/model/siteplot/landUseClassProperty
