obs,prop
http://w3id.org/glosis/model/common/Texture,http://w3id.org/glosis/model/common/textureProperty
http://w3id.org/glosis/model/common/BleachedSand,http://w3id.org/glosis/model/common/bleachedSandProperty
http://w3id.org/glosis/model/common/FragmentsSize,http://w3id.org/glosis/model/common/fragmentsSizeProperty
http://w3id.org/glosis/model/common/CracksDepth,http://w3id.org/glosis/model/common/cracksDepthProperty
http://w3id.org/glosis/model/common/OrganicMatterClass,http://w3id.org/glosis/model/common/organicMatterClassProperty
http://w3id.org/glosis/model/common/CracksDistance,http://w3id.org/glosis/model/common/cracksDistanceProperty
http://w3id.org/glosis/model/common/CracksWidth,http://w3id.org/glosis/model/common/cracksWidthProperty
http://w3id.org/glosis/model/common/RockAbundance,http://w3id.org/glosis/model/common/rockAbundanceProperty
http://w3id.org/glosis/model/common/ColourDry,http://w3id.org/glosis/model/common/colourDryProperty
http://w3id.org/glosis/model/common/ColourMoist,http://w3id.org/glosis/model/common/colourMoistProperty
http://w3id.org/glosis/model/common/RockShape,http://w3id.org/glosis/model/common/rockShapeProperty
http://w3id.org/glosis/model/common/RockSize,http://w3id.org/glosis/model/common/rockSizeProperty
http://w3id.org/glosis/model/common/WeatheringFragments,http://w3id.org/glosis/model/common/weatheringFragmentsProperty
http://w3id.org/glosis/model/common/FragmentCover,http://w3id.org/glosis/model/common/fragmentCoverProperty
http://w3id.org/glosis/model/surface/SaltPresence,http://w3id.org/glosis/model/surface/saltPresenceProperty
http://w3id.org/glosis/model/surface/SaltThickness,http://w3id.org/glosis/model/surface/saltThicknessProperty
http://w3id.org/glosis/model/surface/SealingConsistence,http://w3id.org/glosis/model/surface/sealingConsistenceProperty
http://w3id.org/glosis/model/surface/SaltCover,http://w3id.org/glosis/model/surface/saltCoverProperty
http://w3id.org/glosis/model/surface/SealingThickness,http://w3id.org/glosis/model/surface/sealingThicknessProperty
