label,definition,description
a,Highly decomposed organic material,"Highly decomposed organic material: Used with H and O horizons only,
to indicate the state of decomposition of the organic material. Highly
decomposed organic material has less than one-sixth (by volume) visible
plant remains."
b,Buried genetic horizon,"Buried genetic horizon: Used in mineral soils to indicate identifiable buried
horizons with major genetic features that were formed before burial. Genetic
horizons may or may not have formed in the overlying materials, which may
be either like or unlike the assumed parent materials of the buried soil. The
symbol is not used in organic soils or to separate an organic layer from a
mineral layer, in cryoturbated soils, or with C horizons."
c,Concretions or nodules,"Concretions or nodules: In mineral soil, it indicates a significant accumulation
of concretions or nodules. The nature and consistence of the nodules is
specified by other suffixes and in the horizon description."
c-L,Coprogenous earth,"Coprogenous earth: With limnic material L it denotes coprogenous earth, i.e.
organic materials deposited under water and dominated by faecal material
from aquatic animals."
d,Dense layer (physically root restrictive),"Dense layer: Used in mineral soils to indicate a layer of relatively unaltered,
mostly earthy material that is non-cemented, but that has such bulk density
or internal organization that roots cannot enter except in cracks, the symbol is
not used in combination with the symbols m (cementation) and x (fragipan)."
d-L,Diatomaceous earth,"Diatomaceous earth: In combination with limnic material L, it is used
to indicate diatomaceous earth, i.e. materials deposited under water and
dominated by the siliceous remains of diatoms."
e,Moderately decomposed organic material,"Moderately decomposed organic materials: Used with H and O horizons
only, to indicate the state of decomposition of the organic material.
Moderately decomposed organic material has between one-sixth and twothirds
(by volume) visible plant remains."
f,Frozen soil,"Frozen soil: Designates horizons or layers that contain permanent ice or are
perennially colder than 0 �C. It is not used for seasonally frozen layers or for
bedrock layers (R). If needed, ?dry frozen soil? layers may be labelled (f)."
g,Stagnic conditions,"Stagnic conditions: Designates horizons in which a distinct pattern of
mottling occurs that reflects alternating conditions of oxidation and
reduction of sesquioxides, caused by seasonal surface waterlogging. If
aggregates are present, the interiors of the aggregates show oxidizing colours
and the surface parts reducing colours."
h,Accumulation of organic matter,"Accumulation of organic matter: Designates the accumulation of organic
matter in mineral horizons. The accumulation may occur in surface horizons,
or in subsurface horizons through illuviation."
i,Slickensides,"Slickensides: Denotes in mineral soils the occurrence of slickensides, i.e.
oblique shear faces 20?60 � of horizontal owing to the shrink?swell action of
clay, wedge-shaped peds and seasonal surface cracks are commonly present."
i-HO,Slightly decomposed organic material,"Slightly decomposed organic material: In organic soils and used in
combination with H or O horizons, it indicates the state of decomposition
of the organic material, slightly decomposed organic material has in more
than two-thirds (by volume) visible plant remains."
j,Jarosite accumulation,"Jarosite: Indicates the presence of jarosite mottles, coatings or hypodermic
coatings."
k,Accumulation of pedogenetic carbonates,"Accumulation of pedogenetic carbonates: Indicates an accumulation of
alkaline earth carbonates, commonly calcium carbonate."
