Domain,Meta-Attribute,Attribute(s),Unit,Method,Method Description,Reference,Citation,Source,GloSIS Properties (why is this list incomplete?),Notes
Layer,,availableWaterHoldingCapacity,m3/100m3,PAWHC_calcul-fc300wp,"Plant available water holding capacity of the soil fine earth fraction, calculated with field capacity defined at 300 cm (pF 2.5)",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",AfSP-derived interpretation (RwaSP),,
Layer,,availableWaterHoldingCapacity,m3/100m3,PAWHC_calcul-fc200wp,"Plant available water holding capacity of the soil fine earth fraction, calculated with field capacity defined at 200 cm (pF 2.3)",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",AfSP-derived interpretation (RwaSP),,
Layer,,availableWaterHoldingCapacity,m3/100m3,PAWHC_calcul-fc100wp,"Plant available water holding capacity of the soil fine earth fraction, calculated with field capacity defined at 100 cm (pF 2.0)",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",AfSP-derived interpretation (RwaSP),,
Layer,,baseSaturation,%,BSat_calcul-cec,"Sum of exchangeable bases (Ca++, Mg++, K+, Na+) as percentage of CEC (method specified with CEC and ExchBases)",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",AfSP-derived interpretation (RwaSP),,
Layer,,baseSaturation,%,BSat_calcul-ecec,"Sum of exchangeable bases (Ca++, Mg++, K+, Na+) as percentage of EffCEC (method specified with EffCEC and ExchBases)",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",AfSP-derived interpretation (RwaSP),,
Layer,,bulkDensityFineEarth,kg/dm3,BlkDensF_fe-unkn,"Fine earth. Type of sample unknown, at unknown humidity, corrected for coarse fragments if any",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",AfSP & WoSIS-derived interpretation (RwaSP)),"glosis_lh:BulkDensityFineEarth, delete:lh:BulkDensityWholeSoilValue",
Layer,,bulkDensityFineEarth,kg/dm3,BlkDensF_fe-unkn-fc,"Fine earth. Type of sample unknown, at field capacity (0.33 bar, 33 kPa, 330 cm, pF 2.5), corrected for coarse fragments if any",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",AfSP & WoSIS-derived interpretation (RwaSP),"glosis_lh:BulkDensityFineEarth, delete:lh:BulkDensityWholeSoilValue",
Layer,,bulkDensityFineEarth,kg/dm3,BlkDensF_fe-unkn-od,"Fine earth. Type of sample unknown, at oven dry, corrected for coarse fragments if any",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",AfSP & WoSIS-derived interpretation (RwaSP),"glosis_lh:BulkDensityFineEarth, delete:lh:BulkDensityWholeSoilValue",
Layer,,bulkDensityFineEarth,kg/dm3,BlkDensF_fe-rpl-unkn,"Fine earth. Excavation and replacement (i.e. soils too fragile to remove a stable sample) e.g. by auger, at unknown humidity, corrected for coarse fragments if any",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",AfSP & WoSIS-derived interpretation (RwaSP),"glosis_lh:BulkDensityFineEarth, delete:lh:BulkDensityWholeSoilValue",
Layer,,bulkDensityFineEarth,kg/dm3,BlkDensF_fe-co-unkn,"Fine earth. Core sampling (pF rings), at unknown humidity, corrected for coarse fragments if any",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",AfSP & WoSIS-derived interpretation (RwaSP),"glosis_lh:BulkDensityFineEarth, delete:lh:BulkDensityWholeSoilValue",
