attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition
vegetationClass,HS,H,HS,Short grassland,,,,False,table 11
vegetationClass,S,,S,Shrub,,,,False,table 11
vegetationClass,W,,W,Woodland,,,,False,table 11
vegetationClass,B,,B,Groundwater-fed bog peat,,,,False,table 11
vegetationClass,FS,F,FS,Semi-deciduous forest,,,,False,table 11
vegetationClass,D,,D,Dwarf shrub,,,,False,table 11
vegetationClass,DT,D,DT,Tundra,,,,False,table 11
vegetationClass,DD,D,DD,Deciduous dwarf shrub,,,,False,table 11
vegetationClass,F,,F,Closed forest,,,,False,table 11
vegetationClass,FX,F,FX,Xeromorphic forest,,,,False,table 11
vegetationClass,SE,S,SE,Evergreen shrub,,,,False,table 11
vegetationClass,WX,WE,WX,Xeromorphic woodland,,,,False,table 11
vegetationClass,M,,M,Rainwater-fed moor peat,,,,False,table 11
vegetationClass,HF,H,HF,Forb,,,,False,table 11
vegetationClass,WE,WE,WE,Evergreen woodland,,,,False,table 11
vegetationClass,SX,S,SX,Xeromorphic shrub,,,,False,table 11
vegetationClass,WD,WE,WD,Deciduous woodland,,,,False,table 11
vegetationClass,SD,S,SD,Deciduous shrub,,,,False,table 11
vegetationClass,DS,D,DS,Semi-deciduous dwarf shrub,,,,False,table 11
vegetationClass,FC,F,FC,Coniferous forest,,,,False,table 11
vegetationClass,HM,H,HM,Medium grassland,,,,False,table 11
vegetationClass,FD,F,FD,Deciduous forest,,,,False,table 11
vegetationClass,HT,H,HT,Tall grassland,,,,False,table 11
vegetationClass,FE,F,FE,Evergreen broad-leaved forest,,,,False,table 11
vegetationClass,DX,D,DX,Xermomorphic dwarf shrub,,,,False,table 11
vegetationClass,WS,WE,WS,Semi-deciduous woodland,,,,False,table 11
vegetationClass,SS,S,SS,Semi-deciduous shrub,,,,False,table 11
vegetationClass,H,,H,Herbaceous,,,,False,table 11
vegetationClass,DE,D,DE,Evergreen dwarf shrub,,,,False,table 11
mineralConcKind,IC,,IC,Crack infillings,,,,False,table 74
mineralConcKind,O,,O,Other,,,,False,table 74
mineralConcKind,T,,T,Crystal,,,,False,table 74
mineralConcKind,IP,,IP,Pore infillings,Including pseudomycelium of carbonates or opal.,,,False,table 74
mineralConcKind,SC,,SC,Soft concretio,,,,False,table 74
mineralConcKind,S,,S,Soft segregation (or soft accumulation),Differs from the surrounding soil mass in colour and composition but is not easily separated as a discrete body.,,,False,table 74
mineralConcKind,R,,R,Residual rock fragment,Discrete impregnated body still showing rock structure.,,,False,table 74
mineralConcKind,N,,N,Nodul,Discrete body without an internal organization.,,,False,table 74
mineralConcKind,C,,C,Concretio,"A discrete body with a concentric internal structure, generally cemented.",,,False,table 74
boundaryTopography,B,,B,Brok,Discontinuous,,,False,table 24.2
boundaryTopography,I,,I,Irregular,Pockets more deep than wide,,,False,table 24.2
boundaryTopography,S,,S,Smooth,Nearly plane surface,,,False,table 24.2
boundaryTopography,W,,W,Wavy,Pockets less deep than wide,,,False,table 24.2
sandyTexture,LCS,,LCS,Loamy coarse sand,,,,False,figure 4.3
sandyTexture,FS,,FS,Fine sand,,,,False,figure 4.3
sandyTexture,LFS,,LFS,Loamy fine sand,,,,False,figure 4.3
sandyTexture,US,,US,"Sand, unsorted",,,,False,figure 4.3
sandyTexture,LVFS,,LVFS,Loamy very fine sand,,,,False,figure 4.3
sandyTexture,VFS,,VFS,Very fine sand,,,,False,figure 4.3
sandyTexture,MS,,MS,Medium sand,,,,False,figure 4.3
sandyTexture,FSL,,FSL,Fine sandy loam,,,,False,figure 4.3
sandyTexture,CS,,CS,Coarse sand,,,,False,figure 4.3
sandyTexture,CSL,,CSL,Coarse sandy loam,,,,False,figure 4.3
coatingLocation,CF,,CF,Coarse fragments,,,,False,table 68
coatingLocation,NS,,NS,No specific locatio,,,,False,table 68
coatingLocation,PH,,PH,Horizontal pedfaces,,,,False,table 68
coatingLocation,P,,P,Pedfaces,,,,False,table 68
coatingLocation,BR,,BR,Bridges between sand grains,,,,False,table 68
coatingLocation,LA,,LA,Lamellae (clay bands),,,,False,table 68
coatingLocation,VO,,VO,Voids,,,,False,table 68
coatingLocation,PV,,PV,Vertical pedfaces,,,,False,table 68
slopeGradientClass,03,,03,Nearly level,,,,False,table 7
slopeGradientClass,04,,04,Very gently sloping,,,,False,table 7
slopeGradientClass,08,,08,Moderately steep,,,,False,table 7
slopeGradientClass,05,,05,Gently sloping,,,,False,table 7
slopeGradientClass,06,,06,Sloping,,,,False,table 7
slopeGradientClass,09,,09,Steep,,,,False,table 7
slopeGradientClass,01,,01,Flat,,,,False,table 7
slopeGradientClass,07,,07,Strongly sloping,,,,False,table 7
slopeGradientClass,02,,02,Level,,,,False,table 7
slopeGradientClass,10,,10,Very steep,,,,False,table 7
structureSize,CO,,CO,Coarse/thick,5–10 50–100 20–50,,,False,table 47
structureSize,FI,,FI,Fine/thi,1–2 10–20 5–10,,,False,table 47
structureSize,VC,,VC,Very coarse/thick,> 10 100–500 > 50,,,False,table 47
structureSize,EC,,EC,Extremely coars,– > 500 –,,,False,table 47
structureSize,VF,,VF,Very fine/thi,< 1 < 10 < 5,,,False,table 47
structureSize,ME,,ME,Medium,2–5 20–50 10–20,,,False,table 47
mottlesSize,M,,M,M Medium,6–20,,,False,table 33
mottlesSize,A,,A,A Coars,> 20,,,False,table 33
mottlesSize,V,,V,Very fi,< 2,,,False,table 33
mottlesSize,F,,F,F Fi,2–6,,,False,table 33
saltThickness,V,,V,Very thick,> 20mm,,,False,table 22.2
saltThickness,M,,M,Medium,2mm–5mm,,,False,table 22.2
saltThickness,N,,N,No,,,,False,table 22.2
saltThickness,C,,C,Thick,5mm–20mm,,,False,table 22.2
saltThickness,F,,F,Thi,< 2mm,,,False,table 22.2
landformComplex,RI,,RI,Ridged,,,,False,table 5
landformComplex,KA,,KA,Strong karst,,,,False,table 5
landformComplex,IN,,IN,Inselberg covered (occupying > 1% of level land),,,,False,table 5
landformComplex,TE,,TE,Terraced,,,,False,table 5
landformComplex,IM,,IM,With intermontane plains (occupying > 15%),,,,False,table 5
landformComplex,CU,,CU,Cuesta-shaped,,,,False,table 5
landformComplex,WE,,WE,With wetlands (occupying > 15%),,,,False,table 5
landformComplex,DO,,DO,Dome-shaped,,,,False,table 5
landformComplex,DU,,DU,Dune-shaped,,,,False,table 5
cracksDistance,C,,C,Very closely spaced < 0.2,,,,False,table 21.3
cracksDistance,V,,V,Very widely spaced > 5,,,,False,table 21.3
cracksDistance,M,,M,Moderately widely spaced 0.5–2,,,,False,table 21.3
cracksDistance,D,,D,Closely spaced 0.2–0.5,,,,False,table 21.3
cracksDistance,W,,W,Widely spaced 2–5,,,,False,table 21.3
peatVolume,SV2,,SV2,3– < 5%,,,,False,table 59.2
peatVolume,SV1,,SV1,< 3%,,,,False,table 59.2
peatVolume,SV4,,SV4,8– < 12%,,,,False,table 59.2
peatVolume,SV5,,SV5,≥ 12%,,,,False,table 59.2
peatVolume,SV3,,SV3,5– < 8%,,,,False,table 59.2
boundaryClassification,C,,C,Clear,0.5–2,,,False,table 35
boundaryClassification,S,,S,Sharp,< 0.5,,,False,table 35
boundaryClassification,D,,D,Diffus,> 2,,,False,table 35
