attribute,instance,parent_instance,notation,label,definition,reference,citation,isproperty,concept_definition
cationExchangeCapacitySoil,CEC_ph7-unkn,,CEC_ph7-unkn,CEC_ph7-unk,"CEC buffered at pH 7, in unknown exchange solution",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",False,
cationExchangeCapacitySoil,CEC_ph0-unkn,,CEC_ph0-unkn,CEC_ph0-unk,"CEC unbuffered at pH of the soil, in unknown exchange solution",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",False,
cationExchangeCapacitySoil,CEC_ph8-baoac,,CEC_ph8-baoac,CEC_ph8-baoac,"CEC buffered at pH 8.0-8.5, in 0.5 M Ba-acetate exchange solution",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",False,
cationExchangeCapacitySoil,CEC_ph8-licl2tea,,CEC_ph8-licl2tea,CEC_ph8-licl2tea,"CEC buffered at pH 8.0-8.5, in 0.5 M Li-chloride - TEA exchange solution",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",False,
cationExchangeCapacitySoil,CEC_ph0-cohex,,CEC_ph0-cohex,CEC_ph0-cohex,"CEC unbuffered at pH of the soil, in Cobalt(III) hexamine chloride solution 0,0166M (Cohex) [Co[NH3]6]Cl3 ), ISO 23470 (2007)  exchange solution",https://www.iso.org/standard/36879.html,,False,
cationExchangeCapacitySoil,CEC_ph-unkn-m3,,CEC_ph-unkn-m3,CEC_ph-unkn-m3,"CEC at unknown buffer, in Mehlich III exchange solution",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",False,
cationExchangeCapacitySoil,CEC_ph0-ag-thioura,,CEC_ph0-ag-thioura,CEC_ph0-ag-thioura,"CEC unbuffered at pH of the soil, in 0.01 M Ag-thioura exchange solution",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",False,
cationExchangeCapacitySoil,CEC_ph0-bacl2,,CEC_ph0-bacl2,CEC_ph0-bacl2,"CEC unbuffered at pH o the soil, in 0.5 M BaCl2 exchange solution (0.1-0.5 M)",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",False,
cationExchangeCapacitySoil,CEC_ph8-naoac,,CEC_ph8-naoac,CEC_ph8-naoac,"CEC buffered at pH 8.0-8.5, in 1 M Na-acetate exchange solution",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",False,
cationExchangeCapacitySoil,CEC_ph8-bacl2tea,,CEC_ph8-bacl2tea,CEC_ph8-bacl2tea,"CEC buffered at pH 8.0-8.5, in 0.5 M BaCl2-TEA exchange solution (0.1-0.5 M)",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",False,
cationExchangeCapacitySoil,CEC_ph0-nh4oac,,CEC_ph0-nh4oac,CEC_ph0-nh4oac,"CEC unbuffered at pH of the soil, in 1 M NH4-acetate (NH4OAc) exchange solution (0.25-1.0 M)",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",False,
cationExchangeCapacitySoil,CEC_ph8-unkn,,CEC_ph8-unkn,CEC_ph8-unk,"CEC buffered at pH 8.0-8.5, in unknown exchange solution",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",False,
cationExchangeCapacitySoil,CEC_ph7-edta,,CEC_ph7-edta,CEC_ph7-edta,"CEC buffered at pH 7, in 0.1 M Li-EDTA exchange solution",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",False,
cationExchangeCapacitySoil,CEC_ph8-nh4oac,,CEC_ph8-nh4oac,CEC_ph8-nh4oac,"CEC buffered at pH 8.0-8.5, in 1 M NH4-acetate exchange solution (0.25-1.0 M)",https://www.isric.org/sites/default/files/isric_report_2014_01.pdf,"Leenaars J.G.B., A.J.M. van Oostrum and M. Ruiperez Gonzalez, 2014. Africa Soil Profiles Database, Version 1.2. A compilation of georeferenced and standardised legacy soil profile data for Sub-Saharan Africa (with dataset). ISRIC Report 2014/01. Africa Soil Information Service (AfSIS) project and ISRIC - World Soil Information, Wageningen, the Netherlands. See Annex 4.",False,
